Country,CurrentRank_count,CurrentRank_mean
Argentina,15,676.8666666666667
Australia,37,424.56756756756755
Austria,8,449.0
Azerbaijan,1,1000.0
Bahrain,1,1000.0
Bangladesh,2,1000.0
Belarus,2,677.0
Belgium,8,253.125
Bosnia and Herzegovina,1,580.0
Brazil,22,749.0
Brunei,2,382.5
Bulgaria,1,1000.0
Canada,26,382.53846153846155
Chile,11,737.2727272727273
China,40,466.875
Colombia,11,748.5454545454545
Costa Rica,4,827.5
Croatia,1,1000.0
Cuba,1,520.0
Czech Republic,6,639.5
Denmark,6,341.8333333333333
Ecuador,3,916.6666666666666
Egypt,6,783.3333333333334
Estonia,3,657.0
Finland,10,381.4
France,41,634.9024390243902
Germany,46,399.60869565217394
Greece,6,694.3333333333334
Hong Kong,7,171.28571428571428
Hungary,7,802.8571428571429
India,25,693.44
Indonesia,9,699.1111111111111
Iran,6,721.6666666666666
Iraq,4,862.5
Ireland,8,423.375
Israel,7,484.0
Italy,31,608.6129032258065
Japan,44,568.5454545454545
Jordan,3,716.6666666666666
Kazakhstan,10,593.9
Kenya,1,1000.0
Kuwait,1,1000.0
Latvia,3,933.3333333333334
Lebanon,6,614.5
Lithuania,4,719.5
Macau,1,443.0
Malaysia,13,497.61538461538464
Mexico,14,730.7857142857143
Morocco,1,1000.0
Netherlands,13,155.0
New Zealand,8,262.375
Norway,5,407.6
Oman,1,450.0
Pakistan,7,703.4285714285714
Palestinian Territory,1,1000.0
Panama,1,1000.0
Peru,3,853.3333333333334
Philippines,4,771.0
Poland,14,889.6428571428571
Portugal,7,505.0
Puerto Rico,1,1000.0
Qatar,1,332.0
Romania,5,1000.0
Russia,27,526.074074074074
Saudi Arabia,9,584.8888888888889
Serbia,1,1000.0
Singapore,3,174.33333333333334
Slovakia,3,866.6666666666666
Slovenia,2,850.0
South Africa,9,657.3333333333334
South Korea,30,465.26666666666665
Spain,25,542.8
Sri Lanka,1,1000.0
Sweden,10,355.0
Switzerland,9,187.55555555555554
Taiwan,17,474.2352941176471
Thailand,8,750.125
Turkey,10,725.4
Ukraine,6,670.1666666666666
United Arab Emirates,8,601.375
United Kingdom,78,395.94871794871796
United States,159,442.22641509433964
Uruguay,2,770.0
Venezuela,5,960.0
Vietnam,2,875.0
